num_dc,num_retailers,random_seed,fixed_w,complete_column_count,column_enumeration_time_sec,full_master_build_time_sec,cplex_optimization_time_sec,reference_validation_time_sec,reference_total_wall_time_sec,reference_peak_rss_kb,bp_initialization_time_sec,bp_solve_time_sec,bp_validation_time_sec,bp_total_wall_time_sec,bp_peak_rss_kb,bp_initial_columns,bp_generated_columns,bp_final_master_columns,cplex_status,cplex_objective,cplex_gap,bp_status,bp_objective,bp_gap,absolute_objective_difference,relative_objective_difference,reference_solution_feasible,bp_solution_feasible,bp_cg_iterations,bp_branch_nodes,bp_processed_nodes,bp_pruned_nodes,bp_remaining_active_nodes,pair_valid,size_id
3,5,101,0.0,171,0.00068733800000000001,0.0014737489999999999,0.0058371220000000001,1.1769999999999999e-06,0.008216971,15664,9.1353000000000004e-05,0.001730196,7.6599999999999995e-07,0.0018223149999999999,15664,UNKNOWN,5,UNKNOWN,OPTIMAL,277582.88564722892,0,OPTIMAL_CERTIFIED,277582.88564722892,0,0,0,true,true,3,0,1,0,0,true,3x5
3,5,202,0.0,171,0.00061165500000000001,0.021050695000000001,0.0076978669999999997,1.593e-06,0.029688027000000002,15764,0.000112416,0.0025778300000000001,8.0100000000000004e-07,0.0026910470000000002,15764,UNKNOWN,14,UNKNOWN,OPTIMAL,239513.93709238007,0,OPTIMAL_CERTIFIED,239513.93709238005,0,2.9103830456733704e-11,1.2151205399587419e-16,true,true,4,0,1,0,0,true,3x5
3,5,303,0.0,171,0.00046174200000000001,0.00090740199999999997,0.0020556490000000001,8.6899999999999996e-07,0.0035959960000000002,14672,7.0551999999999998e-05,0.00098431100000000008,5.1600000000000001e-07,0.0010553790000000002,14672,UNKNOWN,1,UNKNOWN,OPTIMAL,69710.71052654607,0,OPTIMAL_CERTIFIED,69710.71052654607,0,0,0,true,true,2,0,1,0,0,true,3x5
3,5,404,0.0,171,0.00081187299999999996,0.001445537,0.0050543660000000002,1.2330000000000001e-06,0.0075832439999999994,17068,0.000112861,0.0018096239999999999,1.032e-06,0.0019235169999999998,17068,UNKNOWN,4,UNKNOWN,OPTIMAL,180207.32612299279,0,OPTIMAL_CERTIFIED,180207.32612299279,0,0,0,true,true,3,0,1,0,0,true,3x5
3,5,505,0.0,171,0.00060927699999999997,0.017935718999999999,0.00138624,1.3009999999999999e-06,0.020292236999999998,13240,0.000112583,0.001062337,8.9100000000000002e-07,0.0011758110000000001,14440,UNKNOWN,0,UNKNOWN,OPTIMAL,17616.336862424327,0,OPTIMAL_CERTIFIED,17616.336862424327,0,0,0,true,true,1,0,1,0,0,true,3x5
3,5,606,0.0,171,0.00054229400000000002,0.018714100000000001,0.0079748370000000002,1.652e-06,0.027611288000000001,15736,0.000133776,0.0026215460000000002,1.043e-06,0.0027563650000000002,15736,UNKNOWN,8,UNKNOWN,OPTIMAL,230604.338664179,0,OPTIMAL_CERTIFIED,230604.338664179,0,0,0,true,true,4,0,1,0,0,true,3x5
3,5,707,0.0,171,0.00036914800000000002,0.00068109099999999999,0.0034004119999999998,7.6899999999999996e-07,0.0046013980000000005,16656,6.5821000000000006e-05,0.001241736,5.7999999999999995e-07,0.001308137,16656,UNKNOWN,6,UNKNOWN,OPTIMAL,271282.11026882706,0,OPTIMAL_CERTIFIED,271282.11026882706,0,0,0,true,true,3,0,1,0,0,true,3x5
3,5,808,0.0,171,0.00038394200000000002,0.017977558000000001,0.0048148039999999998,1.3519999999999999e-06,0.023421817000000001,16140,0.00011336300000000001,0.0027570310000000001,9.9900000000000009e-07,0.0028713929999999999,16140,UNKNOWN,10,UNKNOWN,OPTIMAL,251329.0403231566,0,OPTIMAL_CERTIFIED,251329.0403231566,0,0,0,true,true,4,0,1,0,0,true,3x5
3,5,909,0.0,171,0.00060363099999999998,0.001153006,0.0031190570000000002,4.8733000000000002e-05,0.0051803879999999993,14864,0.00011703499999999999,0.0015272129999999999,1.099e-06,0.0016453469999999999,14864,UNKNOWN,1,UNKNOWN,OPTIMAL,132040.94551579986,0,OPTIMAL_CERTIFIED,132040.94551579986,0,0,0,true,true,2,0,1,0,0,true,3x5
3,5,1010,0.0,171,0.00061133300000000004,0.0010886680000000001,0.0058454229999999998,1.0640000000000001e-06,0.0077969730000000004,15728,7.7278000000000001e-05,0.0016853549999999999,9.1900000000000001e-07,0.001763552,15728,UNKNOWN,7,UNKNOWN,OPTIMAL,133385.83658272415,0,OPTIMAL_CERTIFIED,133385.83658272415,0,0,0,true,true,3,0,1,0,0,true,3x5
