Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2720074.695078,2663040.797466,2591521.879444,37.127109
1,2723299.865053,2673043.508858,2612341.184645,37.127109
2,2723299.865053,2678752.602243,2618093.399782,37.127109
3,2723299.865053,2687555.403751,2657242.011593,37.127109
4,2725476.286313,2698839.374376,2665597.930014,37.127109
5,2731585.869365,2707794.433722,2677139.099515,37.127109
6,2731801.342067,2709575.501277,2666012.834514,37.127109
7,2731801.342067,2716096.573202,2681709.850600,37.127109
8,2731801.342067,2720514.402295,2710611.962377,37.127109
9,2731818.056832,2718679.252733,2682626.389412,37.127109
10,2732003.787606,2720924.014344,2695410.382882,37.127109
11,2732003.787606,2719612.841666,2697544.012889,37.127109
12,2732003.787606,2720986.316467,2694077.942046,37.127109
13,2732045.194329,2721596.202758,2696228.342652,37.127110
14,2732045.194329,2724564.678479,2658420.655507,37.127110
15,2732061.909095,2726018.676716,2696908.515181,37.127110
